sku,name,shortDescription,customerRating,customerRatingCount,customerReviewCount,productUrl,currentRegion,hideSavings,hideSaleEndDate,productType,regularPrice,salePrice,saleEndDate,thumbnailImage,primaryParentCategoryId,categoryName,ehf,seoText,sellerId,seller,highResImage,altLangSeoText,offerId,priceUnit,requiresAgeVerification,isPriceEndsLabel,hasPromotion,isAdvertised,isClearance,isInStoreOnly,isOnlineOnly,isVisible,isPreorderable,isFrenchCompliant,isMarketplace,hasFrenchContent,categoryIds,preorderReleaseDate
19204881,"Samsung 32"" 720p HD HDR LED Tizen Smart TV (UN32H5000FFXZC) - 2025","Upgrade your viewing experience with the Samsung 32-inch Smart TV. Featuring 720p HD resolution and HDR, it delivers crisp, clear, and lifelike visuals. The 2.2.2.ch built-in speaker with AI-driven action-tracking sound offers immersive audio. The One UI Tizen operating system provides a user-friendly interface with intuitive navigation, and personalized recommendations.",4.8,131,131,/en-ca/product/samsung-32-720p-hd-hdr-led-tizen-smart-tv-un32h5000ffxzc-2025/19204881,ON,False,False,,229.99,199.99,1751612399000.0,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19204/19204881.jpg,329712,32 Inch and Smaller TVs,0.0,samsung-32-720p-hd-hdr-led-tizen-smart-tv-un32h5000ffxzc-2025,,,https://multimedia.bbycastatic.ca/multimedia/products/1500x1500/192/19204/19204881.jpg,,,,False,False,True,False,False,False,False,True,False,True,False,False,"['20003', '21344', '329712']",
17731999,"Hisense 65"" 4K UHD HDR LED Roku Smart TV (65R63N) - 2024","Enhance your entertainment experience with this Hisense 4K UHD HDR LED Roku smart TV. It features 4K Ultra HD resolution, Dolby Vision, and HDR10 to deliver extremely impressive picture quality. This smart TV comes preloaded with most popular apps, so you can immediately access your favourite content immediately.",4.92,13,13,/en-ca/product/hisense-65-4k-uhd-hdr-led-roku-smart-tv-65r63n-2024/17731999,ON,False,False,,549.99,499.99,1751612399000.0,https://multimedia.bbycastatic.ca/multimedia/products/150x150/177/17731/17731999.jpg,329721,65 - 69 Inch TVs,18.25,hisense-65-4k-uhd-hdr-led-roku-smart-tv-65r63n-2024,,,https://multimedia.bbycastatic.ca/multimedia/products/1500x1500/177/17731/17731999.jpg,,,,False,False,True,True,False,False,False,True,False,True,False,False,"['20003', '21344', '329721']",1714546800000.0
17905285,"Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50DU6900FXZC) - 2024","Immerse yourself in spectacular visuals with this Samsung LED Smart TV. It features 4K Ultra HD resolution and 60Hz refresh rate for crisp and clear picture quality with smooth visuals. Plus, 4K upscaling improves the quality of low-resolution content to almost 4K resolution. The Tizen OS provides user-friendly interface and more entertainment options.",4.53,2627,2627,/en-ca/product/samsung-50-4k-uhd-hdr-led-tizen-smart-tv-un50du6900fxzc-2024/17905285,ON,False,False,,449.99,399.99,1751612399000.0,https://multimedia.bbycastatic.ca/multimedia/products/150x150/179/17905/17905285.jpg,329716,50 - 54 Inch TVs,18.25,samsung-50-4k-uhd-hdr-led-tizen-smart-tv-un50du6900fxzc-2024,,,https://multimedia.bbycastatic.ca/multimedia/products/1500x1500/179/17905/17905285.jpg,,,,False,False,True,True,False,False,False,True,False,True,False,False,"['20003', '21344', '329716']",1714546800000.0
16693232,"TCL 55"" S4 4K UHD HDR LED Roku OS Smart TV (55S450R-CA)","Experience next level of visual entertainment with TCL 55 S-Series smart TV. Its 4K UHD screen resolution, 6.5ms response time and a 60Hz refresh rate guarantee extremely smooth, clear and realistic picture. Three HDMI 1.4a inputs let you watch high-quality content from different sources and dual-band Wi-Fi allows you to wirelessly stream various content.""",3.58,33,33,/en-ca/product/tcl-55-s4-4k-uhd-hdr-led-roku-os-smart-tv-55s450r-ca/16693232,ON,True,False,,369.99,369.99,1751612399000.0,https://multimedia.bbycastatic.ca/multimedia/products/150x150/166/16693/16693232.jpg,329719,55 - 59 Inch TVs,0.0,tcl-55-s4-4k-uhd-hdr-led-roku-os-smart-tv-55s450r-ca,,,https://multimedia.bbycastatic.ca/multimedia/products/1500x1500/166/16693/16693232.jpg,,,,False,False,True,True,False,False,False,True,False,True,False,False,"['20003', '21344', '329719']",
19206097,"Samsung 75"" 4K UHD HDR QLED Tizen Smart TV (QN75Q6FAAFXZC) - 2025","Redefine your visual experience with the Samsung QLED smart TV. With stunning 4K Ultra HD resolution and HDR, it delivers lifelike images and exceptional picture quality. The 60Hz refresh rate and Motion Xcelerator ensure smooth motion, while 100% colour volume provides vibrant, accurate colours. The 20W speakers deliver high-quality, balanced audio.",4.63,19,19,/en-ca/product/samsung-75-4k-uhd-hdr-qled-tizen-smart-tv-qn75q6faafxzc-2025/19206097,ON,False,False,,1199.98,1096.98,1751612399000.0,https://multimedia.bbycastatic.ca/multimedia/products/150x150/192/19206/19206097.jpg,329725,75 - 84 Inch TVs,18.25,samsung-75-4k-uhd-hdr-qled-tizen-smart-tv-qn75q6faafxzc-2025,,,https://multimedia.bbycastatic.ca/multimedia/products/1500x1500/192/19206/19206097.jpg,,,,False,False,True,False,False,False,False,True,False,True,False,False,"['20003', '21344', '329725']",1745218800000.0
17731998,"Hisense 58"" 4K UHD HDR LED Roku Smart TV (58R63N) - 2024","Enhance your entertainment experience with this Hisense 4K UHD HDR LED Roku smart TV. It features 4K Ultra HD resolution, Dolby Vision, and HDR10 to deliver extremely impressive picture quality. This smart TV comes preloaded with most popular apps, so you can immediately access your favourite content immediately.",4.5,20,20,/en-ca/product/hisense-58-4k-uhd-hdr-led-roku-smart-tv-58r63n-2024/17731998,ON,True,False,,449.99,449.99,1751612400000.0,https://multimedia.bbycastatic.ca/multimedia/products/150x150/177/17731/17731998.jpg,329719,55 - 59 Inch TVs,18.25,hisense-58-4k-uhd-hdr-led-roku-smart-tv-58r63n-2024,,,https://multimedia.bbycastatic.ca/multimedia/products/1500x1500/177/17731/17731998.jpg,,,,False,False,True,False,False,False,False,True,False,True,False,False,"['20003', '21344', '329719']",1714546800000.0
17856038,"TCL 65"" Q65 Series Q6-Series 4K UHD HDR QLED Smart Google TV (65Q651G-CA) - 2024","Get outstanding picture and audio quality when you have the TCL 65” Q-Series 4K UHD HDR QLED smart Google TV. Offering outstanding value and incredible picture quality, this TV hits the sweet spot between top-notch imaging and audio quality. The TCL AIPQ processor, with Deep Learning AI, is an advanced processor that optimizes performance for top-notch viewing.",4.72,874,874,/en-ca/product/tcl-65-q65-series-q6-series-4k-uhd-hdr-qled-smart-google-tv-65q651g-ca-2024/17856038,ON,False,False,,699.99,589.99,1751612399000.0,https://multimedia.bbycastatic.ca/multimedia/products/150x150/178/17856/17856038.jpg,329721,65 - 69 Inch TVs,0.0,tcl-65-q65-series-q6-series-4k-uhd-hdr-qled-smart-google-tv-65q651g-ca-2024,,,https://multimedia.bbycastatic.ca/multimedia/products/1500x1500/178/17856/17856038.jpg,,,,False,False,True,False,False,False,False,True,False,True,False,False,"['20003', '21344', '329721']",
17080860,"Sony Bravia XR 65"" X90L Series 4K UHD HDR LED Smart Google TV (XR65X90L)","Watch and game with vivid, blur-free clarity with the Sony 65"" 4K UHD Smart Google TV. Powered by the Cognitive Processor XR, it delivers the deepest blacks and most natural colours, with full array LEDs for enhanced contrast. It offers audio and video enhancements for cinematic viewing, as well as premium gaming features for smooth gameplay.",4.75,2029,2029,/en-ca/product/sony-bravia-xr-65-x90l-series-4k-uhd-hdr-led-smart-google-tv-xr65x90l/17080860,ON,False,False,,1399.98,1396.98,1751612399000.0,https://multimedia.bbycastatic.ca/multimedia/products/150x150/170/17080/17080860.jpg,329721,65 - 69 Inch TVs,18.25,sony-bravia-xr-65-x90l-series-4k-uhd-hdr-led-smart-google-tv-xr65x90l,,,https://multimedia.bbycastatic.ca/multimedia/products/1500x1500/170/17080/17080860.jpg,,,,False,False,False,False,False,False,False,True,False,True,False,False,"['20003', '21344', '329721']",1685343600000.0
17457965,"Open Box - Sony 55"" 4K UHD HDR LED Smart Google TV (KD55X77L) - 2023 with One Year Warranty","**This is an open-box product. This product comes with a one-year warranty.**Bring your favourite content to life with the Sony 55"" 4K UHD Smart Google TV. Powered by the 4K Processor X1, it delivers realistic colours, sharp details, and dynamic contrast. It uses intelligent motion handling to ensure blur-free visuals and offers near-4K content upscaling, with a Google TV operating system for effortless operation.",0.0,0,0,/en-ca/product/open-box-sony-55-4k-uhd-hdr-led-smart-google-tv-kd55x77l-2023-with-one-year-warranty/17457965,ON,False,True,,799.99,469.99,1761980399000.0,https://multimedia.bbycastatic.ca/multimedia/products/150x150/174/17457/17457965.jpeg,329719,55 - 59 Inch TVs,0.0,open-box-sony-55-4k-uhd-hdr-led-smart-google-tv-kd55x77l-2023-with-one-year-warranty,,"{'canSell': True, 'id': '54744064', 'name': 'Stellar Products Inc.'}",https://multimedia.bbycastatic.ca/multimedia/products/1500x1500/174/17457/17457965.jpeg,,,,False,False,True,False,False,False,True,True,False,True,True,False,"['20003', '21344', '329719']",
17856037,"TCL 55"" Q65 Series Q6-Series 4K UHD HDR QLED Smart Google TV (55Q651G-CA) - 2024","Get outstanding picture and audio quality when you have the TCL 55” Q-Series 4K UHD HDR QLED smart Google TV. Offering outstanding value and incredible picture quality, this TV hits the sweet spot between top-notch imaging and audio quality. The TCL AIPQ processor, with Deep Learning AI, is an advanced processor that optimizes performance for top-notch viewing.",4.74,805,805,/en-ca/product/tcl-55-q65-series-q6-series-4k-uhd-hdr-qled-smart-google-tv-55q651g-ca-2024/17856037,ON,False,False,,499.99,429.99,1751612399000.0,https://multimedia.bbycastatic.ca/multimedia/products/150x150/178/17856/17856037.jpg,329719,55 - 59 Inch TVs,0.0,tcl-55-q65-series-q6-series-4k-uhd-hdr-qled-smart-google-tv-55q651g-ca-2024,,,https://multimedia.bbycastatic.ca/multimedia/products/1500x1500/178/17856/17856037.jpg,,,,False,False,True,False,False,False,False,True,False,True,False,False,"['20003', '21344', '329719']",
